CPF;Nome;Nascimento;Sexo;Est_civil;Email;Telefone;CEP
520.017.343-01;Reginald Peters;1991-03-06;M;Solteiro;rpeters0@drupal.org;(78) 78861-9709;64117-975
437.566.711-51;Ana Silby;1996-10-02;M;Solteiro;asilby1@webnode.com;(46) 69258-7627;95573-951
629.681.648-43;Adda MacKenzie;1991-01-09;M;Solteiro;amackenzie2@webs.com;(77) 90403-5009;05071-530
881.223.868-21;Stacia Deerr;1997-12-25;F;Casado;sdeerr3@loc.gov;(27) 95626-8792;08501-183
161.145.928-70;Samuele Seager;1981-06-15;F;Solteiro;sseager4@github.com;(88) 09083-6272;04302-305
439.045.671-48;Wilow Simonitto;1990-12-05;F;Casado;wsimonitto5@who.int;(11) 69257-2081;78118-242
549.960.571-32;Nicolea McCart;1996-10-02;F;Solteiro;nmccart6@hibu.com;(63) 12292-6838;77294-125
027.227.518-15;Mela Barbery;1971-03-13;M;Solteiro;mbarbery7@ehow.com;(25) 51475-4721;11750-118
871.854.642-80;Vin Beadles;1986-12-02;F;Solteiro;vbeadles8@amazon.co.jp;(31) 94412-3665;60251-031
723.112.033-59;Brockie Otton;1993-06-22;F;Casado;botton9@symantec.com;(59) 94975-7452;35773-524
214.643.968-22;Glyn Pointin;1994-05-19;F;Solteiro;gpointina@auda.org.au;(17) 27915-4198;04483-536
873.196.225-34;Cory McDuffie;1989-09-06;M;Solteiro;cmcduffieb@npr.org;(85) 31043-3249;44069-011
169.575.731-97;Milo Mindenhall;1981-07-09;M;Solteiro;mmindenhallc@reference.com;(08) 03792-4919;77104-874
010.451.188-17;Cedric Dicey;1996-04-11;F;Solteiro;cdiceyd@opensource.org;(10) 02259-8873;07034-935
933.144.308-85;Marshall Hargreves;1979-08-23;M;Casado;mhargrevese@sciencedirect.com;(86) 80403-5511;02045-254
468.761.387-40;Corina Dyble;1993-07-15;M;Casado;cdyblef@apple.com;(16) 21729-5987;29122-076
050.699.577-89;Hayley Wickstead;1985-06-10;F;Solteiro;hwicksteadg@woothemes.com;(98) 11177-4992;27743-608
606.177.458-85;Roarke Robertelli;1988-11-23;M;Solteiro;rrobertellih@blinklist.com;(93) 40849-8988;07657-186
770.556.957-06;Nappie Kulic;1987-01-07;M;Casado;nkulici@smugmug.com;(90) 56949-5851;20672-390
424.668.528-32;Pierce Rendbaek;1981-05-30;F;;prendbaekj@bbb.org;(50) 39530-5957;11739-713
374.152.488-18;Rees Domaschke;1999-09-16;F;Solteiro;rdomaschkek@goo.gl;(45) 06775-9341;01781-290
946.004.525-55;Glen Kesley;1984-07-03;F;Casado;gkesleyl@mapy.cz;(08) 16543-4448;12778-358
949.007.047-38;Nedda Castellone;1990-06-09;F;Casado;ncastellonem@technorati.com;(42) 33326-3177;25551-024
520.249.778-00;Brady Hinchon;1994-05-01;F;Solteiro;bhinchonn@infoseek.co.jp;(98) 67157-7811;06802-060
267.618.426-72;Brit Shevlan;1986-01-30;F;Casado;bshevlano@moonfruit.com;(86) 50023-6189;32520-515
089.739.287-33;Ringo Fozzard;1981-02-11;F;Casado;rfozzardp@fda.gov;(98) 29366-4477;21425-474
777.812.542-28;Vivienne Lantuffe;1989-12-01;F;Casado;vlantuffeq@apple.com;(74) 32462-2264;62456-462
535.867.697-02;Fancy Robbey;1994-03-29;;Casado;frobbeyr@cpanel.net;(46) 48003-13010;28906-534
792.534.293-50;Aguistin Exposito;1984-12-04;F;Solteiro;aexpositos@csmonitor.com;(94) 54503-9131;64223-798
983.294.798-05;Anica Bridgeman;1997-05-01;M;Solteiro;abridgemant@mapquest.com;(97) 21464-0655;06340-129
378.703.147-91;Colline Cawte;1988-11-30;M;Solteiro;ccawteu@stumbleupon.com;(86) 35272-4965;25891-262
113.831.948-46;Emalia Glyne;1988-11-29;F;Casado;eglynev@google.co.uk;(42) 52937-5307;01347-220
706.095.173-08;Barr Sawkin;1999-08-10;M;Solteiro;bsawkinw@bbc.co.uk;(45) 35615-8605;32775-603
595.982.708-19;Kara Thombleson;1993-09-30;M;Solteiro;kthomblesonx@netscape.com;(99) 00575-4861;17945-127
717.868.488-65;Cindee Humpage;1995-12-19;F;Solteiro;chumpagey@nationalgeographic.com;(99) 70833-6747;04242-681
977.383.589-50;Hesther Ciciari;1980-10-27;;Casado;hciciariz@cbsnews.com;(97) 03330-8848;84539-820
405.804.272-67;Kim Storr;1992-12-04;M;Solteiro;kstorr10@infoseek.co.jp;(59) 29731-0231;24417-277
601.906.638-23;Cloe Moye;1975-03-16;M;Solteiro;cmoye11@kickstarter.com;(21) 00658-8348;04427-213
740.245.571-30;Rafferty Birtles;1988-10-14;F;Solteiro;rbirtles12@blogger.com;(52) 94290-4099;28556-681
760.222.917-67;Rinaldo Durn;1994-12-07;M;;rdurn13@lycos.com;(81) 68236-5008;20601-013
963.234.478-77;Ilise Bleddon;1988-12-26;M;Casado;ibleddon14@oakley.com;(73) 89709-2453;05961-629
074.055.028-38;Lorilyn Heliot;1998-01-21;M;Solteiro;lheliot15@ezinearticles.com;(57) 05774-8807;07007-455
377.257.437-46;Artur Waberer;1987-09-25;F;Solteiro;awaberer16@xinhuanet.com;(53) 29317-3132;28158-318
412.938.797-00;Darrin Stilgo;1991-03-16;F;Solteiro;dstilgo17@berkeley.edu;(65) 08355-5498;27254-758
213.890.608-53;Trudie Morston;1968-12-16;M;Casado;tmorston18@shop-pro.jp;(74) 87565-1479;54633-982
386.778.454-84;Reena Salters;1992-03-13;F;Solteiro;rsalters19@patch.com;(07) 86009-7363;64974-369
830.289.286-49;Ludovico Bycraft;1965-11-20;M;Solteiro;lbycraft1a@themeforest.net;(01) 27549-2405;06957-554
151.456.685-01;Florenza Kubista;1984-05-12;M;Solteiro;fkubista1b@webnode.com;(30) 13472-8919;01823-808
827.919.287-69;Carmencita Meins;1993-09-23;F;Casado;cmeins1c@elpais.com;(31) 87633-9093;26479-843
922.752.652-96;Kaycee Giacopetti;1991-12-22;M;Casado;kgiacopetti1d@nhs.uk;(73) 02110-1639;69610-628
570.727.367-58;Coriss Brosoli;1994-08-19;M;Solteiro;cbrosoli1e@imgur.com;(96) 43474-8603;24933-249
447.461.495-59;Anatol Wein;1998-09-15;F;Solteiro;awein1f@europa.eu;(66) 52676-2971;41515-304
669.033.626-41;Mychal Ishak;1987-11-20;M;Casado;mishak1g@timesonline.co.uk;(33) 55168-0621;32894-999
460.587.917-65;Scott Theunissen;1994-12-01;M;Solteiro;stheunissen1h@newsvine.com;(71) 12052-8128;22625-201
774.743.083-00;Monty Python;1999-04-11;;Solteiro;pmordey1i@ed.gov;(71) 89840-6618;62334-943
522.402.398-80;Lurlene Hamor;1983-11-04;F;Solteiro;lhamor1j@usa.gov;(70) 96586-4523;40958-083
430.690.907-63;Dyana Augur;1997-07-01;M;Solteiro;daugur1k@stanford.edu;(12) 67009-4695;26074-609
532.633.528-69;Dorena Dearlove;1998-03-03;M;Solteiro;ddearlove1l@illinois.edu;(03) 40748-8106;00208-213
370.647.339-15;Nerissa Millis;1997-09-13;M;Solteiro;nmillis1m@walmart.com;(00) 16241-1531;88826-139
715.338.371-70;Janis Kohrs;1986-08-18;M;Casado;jkohrs1n@163.com;(67) 32870-81510;75228-392
712.675.177-18;Madalyn Drinkwater;1977-08-14;F;Solteiro;mdrinkwater1o@apple.com;(04) 76859-42910;20549-347
530.320.979-27;Justino Eustice;1985-07-07;M;;jeustice1p@istockphoto.com;(44) 90412-2657;07979-326
840.897.107-52;Constance Balaizot;1995-03-31;;Solteiro;cbalaizot1q@rambler.ru;(82) 51010-2362;23340-046
550.704.661-24;Cassandre Ridpath;1963-05-15;F;Casado;cridpath1r@unblog.fr;(56) 70811-5546;74817-914
481.110.718-19;Mace Chivrall;1995-04-13;F;Solteiro;mchivrall1s@dailymail.co.uk;(99) 46592-4215;15610-480
020.826.020-80;Alix McGuinness;1984-04-09;F;Solteiro;amcguinness1t@ft.com;(46) 24948-7279;95192-475
992.065.448-86;Adair Augustus;1980-09-10;M;Solteiro;aaugustus1u@si.edu;(21) 76201-9307;17995-488
860.523.739-97;Isidore Philipps;1970-01-23;M;Casado;iphilipps1v@typepad.com;(17) 99364-0281;86807-803
571.885.203-13;Benedicto McGiveen;1987-12-01;F;Solteiro;bmcgiveen1w@exblog.jp;(90) 37063-9772;14759-515
205.842.539-48;Georas Eccleston;1973-04-01;F;Solteiro;geccleston1x@prnewswire.com;(40) 00261-4942;83664-862
024.571.497-93;Allister Capelle;1997-06-11;F;Solteiro;acapelle1y@yellowbook.com;(98) 03670-0505;27517-835
749.047.598-14;Dougy Tricker;1992-09-22;M;Casado;dtricker1z@facebook.com;(23) 16997-4196;14016-603
988.294.664-96;Farris Mathen;1988-11-18;F;Solteiro;fmathen20@businessweek.com;(68) 40558-9107;05218-541
903.365.265-73;Laird Delhay;1995-05-06;M;Solteiro;ldelhay21@1und1.de;(17) 66313-8835;42014-887
363.831.068-29;Kiley Ashlin;1997-10-17;F;Casado;kashlin22@soup.io;(57) 24817-2068;08791-192
308.378.497-07;Carole Broadstock;1992-06-07;F;;cbroadstock23@digg.com;(48) 62679-8388;24903-776
825.147.488-36;Butch Zorzetti;1997-02-10;F;Casado;bzorzetti24@myspace.com;(94) 96747-3758;01117-303
686.097.808-00;Findley Cosin;1999-06-06;M;Solteiro;fcosin25@hhs.gov;(65) 39477-5164;06366-550
111.924.658-79;Philippa Jewer;1972-09-02;F;Solteiro;pjewer26@behance.net;(35) 97271-3046;05186-179
302.371.761-05;Noak Ronisch;1993-07-13;F;Solteiro;nronisch27@home.pl;(76) 96552-3809;39318-038
461.118.318-21;Issy Nockalls;1993-11-23;M;Casado;inockalls28@japanpost.jp;(46) 90588-2422;06865-457
935.481.523-64;Sanders Horlick;1963-12-28;F;Casado;shorlick29@indiegogo.com;(21) 45761-2038;86471-256
183.152.258-58;Dyan Exrol;1986-04-21;;Solteiro;dexrol2a@google.com.hk;(39) 61764-6481;04375-553
699.072.068-84;Giorgio McPaike;1968-09-15;F;Casado;gmcpaike2b@imgur.com;(00) 60647-2016;02869-244
884.529.788-42;Ernestine Rosita;1998-03-14;F;Casado;erosita2c@thetimes.co.uk;(09) 73611-6012;01124-491
407.220.504-98;Margo Bertolin;1985-11-12;M;Casado;mbertolin2d@jugem.jp;(41) 45227-7936;55105-670
942.383.858-85;Nicolis Dineen;1995-05-01;F;Casado;ndineen2e@illinois.edu;(65) 49029-6111;04870-231
066.664.722-71;Janos Balch;1994-08-04;F;Solteiro;jbalch2f@bizjournals.com;(79) 20394-6441;62131-404
418.148.998-49;Owen Lapham;1978-09-25;F;Solteiro;olapham2g@drupal.org;(81) 83381-3241;08085-071
053.283.878-42;Esta Jopling;1977-06-16;M;Solteiro;ejopling2h@people.com.cn;(22) 96610-2126;15653-647
180.642.042-49;Myrah Feron;1990-06-16;F;Casado;mferon2i@msn.com;(25) 20513-6354;65513-563
304.570.788-29;Antonie Janaszkiewicz;1971-11-07;M;Casado;ajanaszkiewicz2j@yahoo.co.jp;(98) 01578-0667;05456-856
667.816.592-52;Nadia felip;1991-04-21;M;Solteiro;nfelip2k@apple.com;(36) 34383-8946;64070-585
261.100.859-22;Barbette Catterall;1996-12-18;M;Casado;bcatterall2l@columbia.edu;(18) 44100-6884;89402-974
698.898.728-10;Torey Beever;1982-11-11;F;Casado;tbeever2m@nhs.uk;(39) 07595-21110;05352-316
939.176.038-34;Irvin Harpin;1990-07-21;F;Solteiro;iharpin2n@phoca.cz;(18) 94048-5157;24616-888
842.344.450-56;Sibeal Jorger;1988-07-22;F;Casado;sjorger2o@squarespace.com;(80) 11340-66610;36960-005
602.542.811-22;Ibbie Grene;1995-02-03;M;Solteiro;igrene2p@smugmug.com;(94) 27361-0526;01326-495
973.392.564-63;Janet Croom;1997-01-25;M;Casado;jcroom2q@arstechnica.com;(39) 26341-5389;50827-250
971.553.958-46;Mickie Banister;1992-10-21;M;Solteiro;mbanister2r@sina.com.cn;(06) 56892-8556;02690-153
